latitude,longitude,spp_richness,N_dep_kghayr,precip_mm,temp_C_ave,pH,CL_kghayr_lower,CL_kghayr_upper,CL_kghayr,EX_kghayr,two_class_veg,NVC_1_name,NVC_2_name,NVC_Alliance,proj_orig
35.1,-78.9,18,13.82,1163.67,16.59,5.6,13.01,14.93,13.87,-0.06,closed_canopy,Forest,Deciduous forest,Quercus alba - (Quercus nigra) Forest Alliance,CVS
34.8,-78.4,5,14.81,1217.63,16.56,4.1,10.17,11.34,10.74,4.06,closed_canopy,Forest,Mixed evergreen-deciduous forest,"Quercus spp. - Pinus (rigida, echinata) Forest Alliance",CVS
34.6,-78.5,2,12.81,1215.67,16.8,3.8,6.88,8.27,7.57,5.24,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
35.1,-78.9,12,13.82,1163.67,16.59,5.9,13.59,15.79,14.57,-0.76,closed_canopy,Forest,Deciduous forest,Quercus alba - (Quercus nigra) Forest Alliance,CVS
34.7,-78.4,6,13.12,1217.99,16.8,4.1,10.17,11.34,10.74,2.37,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.7,-78.4,2,13.12,1217.99,16.8,4.2,10.23,11.41,10.81,2.31,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.7,-78.4,8,13.12,1217.99,16.8,3.8,9.31,10.58,9.96,3.15,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.7,-78.4,7,13.18,1222.9,16.68,4.1,10.2,11.37,10.77,2.41,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.8,-78.7,11,12.61,1199.81,16.62,4.6,11.2,12.46,11.79,0.82,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.8,-78.7,22,13.37,1199.62,16.64,4.9,7.46,8.72,8.09,5.29,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
35.1,-78.9,15,13.81,1162.57,16.6,5.4,7.64,8.86,8.25,5.56,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
35.1,-78.9,10,13.81,1162.57,16.6,5,7.44,8.69,8.07,5.75,open_canopy,Woodland,Evergreen woodland,Pinus palustris Woodland Alliance,CVS
34.6,-78.5,10,12.81,1209.41,16.82,4.7,11.36,12.65,11.96,0.85,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.6,-78.5,16,12.81,1209.41,16.82,4.8,11.52,12.84,12.13,0.68,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.6,-78.3,7,12.28,1270.71,16.74,4.4,10.83,12.02,11.4,0.88,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.1,-78.9,8,13.8,1162.86,16.47,4.8,11.64,13,12.27,1.54,closed_canopy,Forest,Mixed evergreen-deciduous forest,"Quercus spp. - Pinus (rigida, echinata) Forest Alliance",CVS
35.1,-78.9,4,13.8,1162.86,16.47,5.2,12.26,13.84,12.98,0.82,closed_canopy,Forest,Mixed evergreen-deciduous forest,"Quercus spp. - Pinus (rigida, echinata) Forest Alliance",CVS
34.6,-78.5,10,12.77,1216.34,16.78,4.4,10.87,12.07,11.44,1.33,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.1,-78.9,11,13.81,1162.57,16.6,5.6,13.01,14.93,13.87,-0.06,closed_canopy,Forest,Deciduous forest,Fagus grandifolia - Quercus alba Forest Alliance,CVS
34.6,-78.5,2,12.77,1216.34,16.78,4.8,11.56,12.9,12.18,0.59,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
34.6,-78.5,6,12.77,1216.34,16.78,4.8,11.56,12.9,12.18,0.59,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.1,-78.9,21,13.82,1163.67,16.59,4.6,11.2,12.46,11.79,2.03,closed_canopy,Forest,Deciduous forest,Quercus alba - (Quercus nigra) Forest Alliance,CVS
34.5,-78.2,6,11.43,1297.71,16.71,4.5,10.91,12.12,11.48,-0.05,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
36.3,-76,8,12.03,1211.34,16.01,4.7,11.48,12.79,12.09,-0.06,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.4,-76.7,6,10.61,1249.43,15.5,4,9.98,11.17,10.57,0.04,closed_canopy,Forest,Deciduous forest,Quercus alba - (Quercus nigra) Forest Alliance,CVS
36.3,-76,4,12.03,1211.34,16.01,4.8,11.6,12.95,12.22,-0.19,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.3,-76,20,12.03,1211.34,16.01,5,11.98,13.46,12.66,-0.63,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
36.4,-76.7,4,10.61,1249.43,15.5,4.1,10.16,11.34,10.74,-0.13,closed_canopy,Forest,Deciduous forest,Fagus grandifolia - Acer saccharum - (Liriodendron tulipifera) Forest Alliance,CVS
36.4,-76,25,12.04,1207.31,16.01,4.8,11.7,13.07,12.33,-0.29,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
36.5,-76.4,1,11.28,1303.43,15.55,3.6,8.8,10.19,9.53,1.75,closed_canopy,Forest,Evergreen forest,Pinus taeda Forest Alliance,CVS
35.4,-83.1,34,10.24,1467.68,11,5.2,12.35,13.97,13.09,-2.85,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,13,10.24,1529.02,10.47,5.1,12.17,13.71,12.87,-2.64,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,2,10.24,1529.02,10.47,4.8,11.5,12.82,12.11,-1.88,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,28,10.24,1513.33,10.51,5.5,12.9,14.77,13.74,-3.51,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,35,10.24,1467.68,11,5.3,12.54,14.24,13.31,-3.07,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,39,10.24,1420.59,11.38,5.9,13.62,15.83,14.61,-4.37,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,8,10.24,1454.34,11.4,4.8,11.6,12.95,12.22,-1.99,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,7,10.24,1585.21,10.6,4.7,11.4,12.69,12,-1.77,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,3,10.24,1500.05,11.06,4.6,11.2,12.46,11.79,-1.55,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,33,10.24,1467.68,11,4.8,11.6,12.95,12.22,-1.99,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,24,10.24,1593.45,9.54,4.5,10.99,12.22,11.57,-1.33,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,35,10.24,1467.68,11,4.8,11.6,12.95,12.22,-1.99,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,30,10.24,1467.68,11,4.8,11.6,12.95,12.22,-1.99,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,13,10.24,1562.97,10.27,4.8,11.6,12.95,12.22,-1.99,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
35.4,-83.1,22,10.24,1467.68,11,5.2,12.26,13.84,12.98,-2.75,closed_canopy,Forest,Deciduous forest,"Quercus alba - (Quercus rubra, Carya spp.) Forest Alliance",CVS
